timestamp,machine_id,vibration,acoustic,temperature,current,IMF_1,IMF_2,IMF_3,label,vibration_roll_mean,vibration_roll_std,vibration_lag1,acoustic_roll_mean,acoustic_roll_std,acoustic_lag1,temperature_roll_mean,temperature_roll_std,temperature_lag1,current_roll_mean,current_roll_std,current_lag1,IMF_1_roll_mean,IMF_1_roll_std,IMF_1_lag1,hour,machine_enc
2024-07-01 08:00:00,M01,0.822,0.645,66.85,13.04,0.196,0.033,0.0,0,0.822,0.0,0.822,0.645,0.0,0.645,66.85,0.0,66.85,13.04,0.0,13.04,0.196,0.0,0.196,8,0
2024-07-01 08:01:00,M01,1.398,0.834,76.2,15.08,0.332,0.132,0.001,1,1.1099999999999999,0.4072935059634514,0.822,0.7395,0.1336431816442574,0.645,71.525,6.6114484040942205,66.85,14.059999999999999,1.4424978336205583,13.04,0.264,0.09616652224137047,0.196,8,0
2024-07-01 08:02:00,M01,0.856,0.59,67.03,12.3,0.187,0.017,0.002,0,1.0253333333333334,0.3231862208283845,1.398,0.6896666666666667,0.1279856762818923,0.834,70.02666666666666,5.347020977454021,76.2,13.473333333333334,1.4397684999100837,15.08,0.23833333333333337,0.08124243554530683,0.332,8,0
2024-07-01 08:03:00,M01,0.793,0.544,65.04,11.69,0.196,-0.06,0.003,0,0.9672499999999999,0.2883185449001387,0.856,0.65325,0.12737706491620326,0.59,68.78,5.0276369532150325,67.03,13.0275,1.475474499949084,12.3,0.22775,0.0696293759845656,0.187,8,0
2024-07-01 08:04:00,M01,1.279,0.721,78.19,14.84,0.33,-0.115,0.004,1,1.0295999999999998,0.2859777963409047,0.793,0.6668000000000001,0.11439711534824641,0.544,70.662,6.05536704089851,65.04,13.39,1.5132085117392116,11.69,0.24820000000000003,0.07567826636492145,0.196,8,0
2024-07-01 08:05:00,M01,0.782,0.655,61.95,11.56,0.164,-0.081,0.005,0,1.0215999999999998,0.29369252629237935,1.279,0.6688,0.11400745589653334,0.721,69.682,7.1280340908275654,78.19,13.094,1.7282592398132868,14.84,0.24180000000000001,0.08226299289473973,0.33,8,0
2024-07-01 08:06:00,M01,0.837,0.564,64.52,10.98,0.238,-0.095,0.006,0,0.9094000000000001,0.20885234018320198,0.782,0.6148,0.07263401407054407,0.655,67.346,6.326786704165076,61.95,12.274000000000001,1.5091653322283818,11.56,0.223,0.06553624951124377,0.164,8,0
2024-07-01 08:07:00,M01,0.725,0.652,62.87,11.89,0.214,-0.076,0.007,0,0.8832000000000001,0.22483149245601675,0.837,0.6272,0.07263401407054408,0.564,66.514,6.644293039895216,64.52,12.192,1.5185091372790624,10.98,0.2284,0.06288720060552862,0.238,8,0
2024-07-01 08:08:00,M01,0.803,0.702,64.51,11.19,0.145,-0.004,0.008,0,0.8852,0.22387094496606727,0.725,0.6588,0.06079226924535725,0.652,66.40799999999999,6.677830486018645,62.87,12.092,1.5752364901817133,11.89,0.2182,0.07280934006018733,0.214,8,0
2024-07-01 08:09:00,M01,0.779,0.539,61.3,12.51,0.103,-0.025,0.009,0,0.7852,0.040843604150464945,0.803,0.6224000000000001,0.06826638997339754,0.702,63.029999999999994,1.4658956306640827,64.51,11.626000000000001,0.6047561492039627,11.19,0.17279999999999998,0.05401573844723403,0.145,8,0
2024-07-01 08:10:00,M01,0.897,0.627,67.18,11.18,0.093,0.097,0.01,0,0.8082,0.06425885153035255,0.779,0.6168,0.06603559646130253,0.539,64.076,2.189801360854466,61.3,11.55,0.6380830666927357,12.51,0.15860000000000002,0.06510222730444785,0.103,8,0
2024-07-01 08:11:00,M01,0.789,0.603,65.8,11.27,0.086,-0.08,0.011,0,0.7986000000000001,0.06244037155558803,0.897,0.6246,0.06029344906372493,0.627,64.332,2.325310731923816,67.18,11.608,0.584225983674131,11.18,0.1282,0.0531479068261394,0.093,8,0
2024-07-01 08:12:00,M01,0.726,0.575,65.57,12.85,0.08,-0.022,0.012,0,0.7988000000000002,0.06214660087245227,0.789,0.6092,0.061369373469182385,0.603,64.872,2.2116441847639234,65.8,11.8,0.8130190649671165,11.27,0.1014,0.025832150510555534,0.086,8,0
2024-07-01 08:13:00,M01,0.826,0.485,66.41,12.15,0.156,-0.005,0.013,0,0.8034000000000001,0.0633742850058278,0.726,0.5658,0.05581397674418098,0.575,65.252,2.2955326179342554,65.57,11.992,0.7433168907000587,12.85,0.1036,0.030517208260258583,0.08,8,0
2024-07-01 08:14:00,M01,0.823,0.582,65.28,12.31,0.217,0.05,0.014,0,0.8122,0.06218279504814734,0.826,0.5744,0.05393329213018597,0.485,66.048,0.7570138704146213,66.41,11.952000000000002,0.7132461005852071,12.15,0.1264,0.0591295188547987,0.156,8,0
2024-07-01 08:15:00,M01,0.882,0.594,62.76,12.53,0.223,-0.059,0.015,0,0.8092,0.05723373131292327,0.823,0.5678,0.04752578247646193,0.582,65.164,1.4066378354075713,65.28,12.222,0.5933970003294596,12.31,0.1524,0.06859518933569611,0.217,8,0
